name,sku,price,payment_object,vat_type,tax_identity
Фискальный накопитель 13 месяцев,ФН-13,9800,commodity,vat20,7708317992
Фискальный накопитель 15 месяцев,ФН-15,10500,commodity,vat10,7708317992
Фискальный накопитель 36 месяцев,ФН-36,12000,commodity,vat0,7708317992
Фискальный регистратор Умка Стандарт ФА-01,УМКА-СТАНДАРТ,18000,commodity,none,7708317992
Фискальный регистратор Умка Лайт в аренду на 1 год,УМКА-ЛАЙТ,27000,service,va2t0,7708317992
Настройка кассы и мониторинг в течение 1 года,НАСТРОЙКА,3000,service,vat10,7708317992
Обслуживание в ОФД сроком на 1 год,ОФД,1000,service,vat0,7708317992
Доставка курьерской службой,КУРЬЕР,500,service,none,7708317992
