name,sku,price,payment_object,vat_type,tax_identity
LACE Шнурок для очков с силиконовыми петельками,LACE,100,commodity,vat20,280110813693
EP-11 Защитные очки Eagle Pair от красного и ультрафиолетового лазера  (190-400nm и 580-760nm) OD 4+,EP-11,3190,commodity,vat20,280110813693
EP-3-8 Защитные очки Eagle Pair от зелёного лазера и синего лазера (190-540nm) OD5+,EP-3-8,3190,commodity,vat20,280110813693
EP-13-1 Защитные очки Eagle Pair от синего и красного лазера (190-470nm и 610-760nm) OD 4+,EP-13-1,3990,commodity,vat20,280110813693
EP-10-4 Защитные очки Eagle Pair (980-2500nm) OD 5+,EP-10-4,3990,commodity,vat20,280110813693
EP-14-4 Защитные очки Eagle Pair (600-1100nm) OD 6+,EP-14-4,3990,commodity,vat20,280110813693
EP-15-4 Защитные очки Eagle Pair (680-1100nm) OD 7+,EP-15-4,3990,commodity,vat20,280110813693
EP-18 Защитные очки Eagle Pair (750-850 nm OD5+; 765-830 nm OD 6+),EP-18,3990,commodity,vat20,280110813693
EP-18-9 Защитные очки Eagle Pair (750-850 nm OD5+; 765-830 nm OD 6+),EP-18-9,3990,commodity,vat20,280110813693
EP-8-1 Защитные очки Eagle Pair (190-470nm и 800-1700nm) OD 5+,EP-8-1,3990,commodity,vat20,280110813693
EP-1-1 Защитные очки Eagle Pair от синего; зелёного и инфракрасного лазера (190-540nm и 800-1700nm) OD 5+,EP-1-1,3990,commodity,vat20,280110813693
EP-1-9 Защитные очки Eagle Pair от синего; зелёного и инфракрасного лазера  (190-540nm и 800-1700nm) OD 5+,EP-1-9,3990,commodity,vat20,280110813693
EP-1A-6 Защитные очки Eagle Pair от синего; зелёного и инфракрасного лазера  (190-540nm и 900-1700nm) OD 4+,EP-1A-6,3450,commodity,vat20,280110813693
EP-17A Защитные очки Eagle Pair (190-440;780-900;10600nm OD5+ 900-1100nm OD6+),EP-17A,4990,commodity,vat20,280110813693
EP-16-1 Защитные очки Eagle Pair от ультрафиолетового; желтого; оранжевого и красного лазера (190-400;560-640nm) OD4+,EP-16-1,3450,commodity,vat20,280110813693
EP-16-9 Защитные очки Eagle Pair от ультрафиолетового; желтого; оранжевого и красного лазера (190-400;560-640nm) OD4+,EP-16-9,3450,commodity,vat20,280110813693
EP-3C-9 Защитные очки Eagle Pair от зеленого и желтого лазера (520-590nm) OD2;5+,EP-3C-9,3450,commodity,vat20,280110813693
EP-3-9 Защитные очки Eagle Pair от ультрафиолетового; фиолетового; зелёного и синего лазера (190-540nm) OD4+,EP-3-9,3990,commodity,vat20,280110813693
EP-4-6 Защитные очки Eagle Pair от CO2 лазера (10600nm) OD5+,EP-4-6,3300,commodity,vat20,280110813693
EP-6-5 Защитные очки Eagle Pair (2940nm) OD4+,EP-6-5,3450,commodity,vat20,280110813693
IPL-3 Защитные очки Eagle Pair (200-2000nm) ,IPL-3,3900,commodity,vat20,280110813693
IPL-3-6 Защитные очки Eagle Pair (200-2000nm),IPL-3-6,3900,commodity,vat20,280110813693
IPL-3-1 Защитные очки Eagle Pair (190-2000nm),IPL-3-1,3900,commodity,vat20,280110813693
EP-9A-9 Защитные очки Eagle Pair от ультрафиолетового и фиолетового лазера (190-420nm) OD4+,EP-9A-9,3990,commodity,vat20,280110813693
EP-3-6 Защитные очки Eagle Pair от фиолетового; синего и зелёного лазера (190-540nm) OD 6+,EP-3-6,3990,commodity,vat20,280110813693
IPL Защитные очки пациента Eagle Pair; белые,IPL-W,990,commodity,vat20,280110813693
IPL Защитные очки пациента Eagle Pair; черные,IPL-B,990,commodity,vat20,280110813693
IPL-S Защитные очки для пациента,IPL-S,2990,commodity,vat20,280110813693
IPL-1 Защитные очки для пациента,IPL-1,2990,commodity,vat20,280110813693
IPM-LGB Защитная маска Eagle Pair от зелёного лазера и синего лазера (190-540nm),IPM-LGB,6990,commodity,vat20,280110813693
IPM-LA Защитная маска Eagle Pair (190-470nm; 800-1700nm),IPM-LA,7100,commodity,vat20,280110813693
IPM-LB Защитная маска Eagle Pair (190-380nm; 600-760nm),IPM-LB,6990,commodity,vat20,280110813693
IPM-LC Защитная маска Eagle Pair (190-540nm; 800-1700nm) OD 5+,IPM-LC,7100,commodity,vat20,280110813693
GLASS-GBL-2 #2 Защитные очки от зелёного лазера и синего лазера (200-540nm),GLASS-GBL-2,590,commodity,vat20,280110813693
GLASS-IRL-2 #2 Защитные очки от инфракрасного лазера (800-2000nm),GLASS-IRL-2,590,commodity,vat20,280110813693
GLASS-RL-2 #2 Защитные очки от красного лазера (590-690nm),GLASS-RL-2,590,commodity,vat20,280110813693
GLASS-IRL-1 Защитные очки от инфракрасного лазера (800-2000nm),GLASS-IRL-1,590,commodity,vat20,280110813693
GLASS-GBL-1 Защитные очки от зелёного лазера и синего лазера (200-540nm),GLASS-GBL-1,590,commodity,vat20,280110813693
GLASS-RL-1 Защитные очки от красного лазера (590-690nm),GLASS-RL-1,590,commodity,vat20,280110813693
GLASS-RL-ROUND Защитные очки от красного лазера; овальные (590-690nm),GLASS-RL-ROUND,590,commodity,vat20,280110813693
