name,sku,price,payment_object,vat_type,tax_identity
Кондиционер Hisense BLACK STAR DC Inverter AS-13UR4SVDDEIB15,BLACK_ST_Inv13,43490,commodity,vat20,2466276880
Кондиционер Hisense EXPERT EU DC Inverter AS-10UR4SYDTDI7,EXPERT_EU_Inv10,33690,commodity,vat20,2466276880
Кондиционер Hisense EXPERT EU DC Inverter AS-13UR4SYDTDI7,EXPERT_EU_Inv13,38990,commodity,vat20,2466276880
Кондиционер Hisense EXPERT EU DC Inverter AS-18UW4SXATD077,EXPERT_EU_Inv18,61890,commodity,vat20,2466276880
Кондиционер Hisense EXPERT EU DC Inverter AS-24UW4SDBTD107,EXPERT_EU_Inv24,76790,commodity,vat20,2466276880
Кондиционер Hisense SMART DC Inverter AS-07UR4SYDDB15,SMART_Inv07,26290,commodity,vat20,2466276880
Кондиционер Hisense SMART DC Inverter AS-09UR4SYDDB15,SMART_Inv09,27790,commodity,vat20,2466276880
Кондиционер Hisense SMART DC Inverter AS-11UR4SYDDB15,SMART_Inv11,31290,commodity,vat20,2466276880
Кондиционер Hisense SMART DC Inverter AS-13UR4SVDDB5,SMART_Inv13,33690,commodity,vat20,2466276880
Кондиционер Hisense SMART DC Inverter AS-18UR4SMADB035,SMART_Inv18,52590,commodity,vat20,2466276880
Кондиционер Hisense SMART DC Inverter AS-24UR4SBBDB015,SMART_Inv24,65590,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA GLORIA RC-G25HN,RC_GLORIA25,15890,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA GLORIA RC-G30HN,RC_GLORIA30,17290,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA GLORIA RC-G39HN,RC_GLORIA39,22890,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA GLORIA RC-G60HN,RC_GLORIA60,36190,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA GLORIA RC-G76HN,RC_GLORIA76,44390,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO RC-P25HN,RC_PRESTIGIO25,18490,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO RC-P30HN,RC_PRESTIGIO30,20690,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO RC-P40HN,RC_PRESTIGIO40,27190,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO RC-P61HN,RC_PRESTIGIO61,42290,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO RC-P77HN,RC_PRESTIGIO77,52090,commodity,vat20,2466276880
