item_id,name,sku,size,price
4055017071037,Три пары носков  взр.,AA5480,2730,790
4055017071044,Три пары носков  взр.,AA5480,3134,790
4055017071075,Три пары носков  взр.,AA5480,3538,790
4055017070733,#WНоски взр.,AA5481,2730,790
4055017070672,#WНоски взр.,AA5481,3134,790
4055017070689,#WНоски взр.,AA5481,3538,790
4055017070719,#WНоски взр.,AA5481,3942,790
4055017323839,Футболка жен.,AA6145,40,1990
4055017323907,Футболка жен.,AA6145,4244,1990
4055017323884,Футболка жен.,AA6145,4648,1990
4055017323938,Футболка жен.,AA6145,4850,1990
4055017349631,#CФутболка жен.,AA6148,38,1990
4055017349563,#CФутболка жен.,AA6148,40,1990
4055017349594,#CФутболка жен.,AA6148,4244,1990
4055017349549,#CФутболка жен.,AA6148,4648,1990
4055017324430,Футболка с длинным рукавом жен.,AA6152,40,3390
4055017324409,Футболка с длинным рукавом жен.,AA6152,4244,3390
4055017324454,Футболка с длинным рукавом жен.,AA6152,4648,3390
4055017324515,Футболка с длинным рукавом жен.,AA6152,4850,3390
4055017301615,Футболка с длинным рукавом жен.,AA6153,40,3390
4055017322979,Футболка с длинным рукавом жен.,AA6153,4244,3390
4055017322955,Футболка с длинным рукавом жен.,AA6153,4648,3390
4055017323020,Футболка с длинным рукавом жен.,AA6153,4850,3390
4055011357663,Спортивный рюкзак взр.,AB1817,4446,1990
4055339848324,#CТри пары носков  взр.,AB3919,3538,790
4055339852383,#CТри пары носков  взр.,AB3919,3942,790
4055339848317,#CТри пары носков  взр.,AB3919,4346,790
4055011681645,Спортивный костюм жен.,AB3993,40,6390
4055011681683,Спортивный костюм жен.,AB3993,4244,6390
4055011681676,Спортивный костюм жен.,AB3993,4648,6390
4055011677402,Спортивный костюм жен.,AB3993,4850,6390
4055014833751,Пляжные шорты муж.,AB5642,46,3690
4055014833775,Пляжные шорты муж.,AB5642,50,3690
4055014833836,Пляжные шорты муж.,AB5642,54,3690
4055014833768,Пляжные шорты муж.,AB5642,58,3690
4055339448388,Шорты  муж.,AB6421,46,2390
4055339448357,Шорты  муж.,AB6421,50,2390
